valid,letter,n
FALSE,-,10
FALSE,),4
FALSE,_,3
FALSE,0,305
FALSE,1,3576
FALSE,2,788
FALSE,3,653
FALSE,4,383
FALSE,5,116
FALSE,6,118
FALSE,7,113
FALSE,8,111
FALSE,9,197
FALSE,a,919
FALSE,b,287
FALSE,c,117
FALSE,d,51
FALSE,e,438
FALSE,f,87
FALSE,g,28
FALSE,h,3
FALSE,i,39
FALSE,j,2
FALSE,k,284
FALSE,l,52
FALSE,m,48
FALSE,n,37
FALSE,o,14
FALSE,p,26
FALSE,q,1
FALSE,r,84
FALSE,s,43
FALSE,t,718
FALSE,u,7
FALSE,v,9
FALSE,w,23
FALSE,x,7
FALSE,y,186
FALSE,z,2
TRUE,a,3557
TRUE,b,166
TRUE,c,1466
TRUE,d,56
TRUE,f,18
TRUE,g,138
TRUE,r,64
TRUE,s,19113
TRUE,w,19185
